doi,title,authors,journal,year,volume,issue,pages,area,method,chem,data,valid,finding,limit,cites
10.1016/j.jpowsour.2024.235609,,"Zou, M.; Wang, J.; Yan, D.; Li, Y.; Tang, X.",Journal of Power Sources,2024,624,,,State estimation (SOC),Deep learning,LFP,self-lab,online/real-vehicle,containerized ESS SOC estimation handles large strings with relaxed sensing,stationary duty focus,24
10.1016/j.egyai.2025.100585,,"Yao, J.; Kowal, J.",Energy and AI,2025,21,,,State estimation (SOC),Review / perspective,various,review,review synthesis,critical review of deep-learning SOC estimation toward smarter BMS with deployment criteria,review scope,24
10.20517/jmi.2024.84,,"Wu, Y.; Bai, D.; Zhang, K.; Li, Y.; Yang, F.",Journal of Materials Informatics,2025,5,2,,State estimation (SOC),Review / perspective,various,review,review synthesis,comprehensive review of traditional and deep-learning SOC estimation approaches,review scope,22
10.1016/j.jpowsour.2021.229727,,"Tang, X.; Guo, Q.; Li, M.; Wei, C.; Pan, Z.; Wang, Y.",Journal of Power Sources,2021,494,,,Thermal management,Deep learning,NMC,simulation,simulation plus hardware spot-check,ML-surrogate liquid-cooling BTMS analysis accelerates thermal design trade-offs,CFD training data generation cost,181
10.1016/j.applthermaleng.2022.118503,,"Chen, S.; Zhang, G.; Zhu, J.; Feng, X.; Wei, X.; Ouyang, M.; et al.",Applied Thermal Engineering,2022,211,,,Thermal management,Optimization-augmented control,NMC,simulation,experimental hardware,multi-objective optimization plus experiment validates parallel liquid-cooling plate design,geometry-specific findings,101
10.1016/j.applthermaleng.2023.120482,,"Wang, Y.; Chen, X.; Li, C.; Yu, Y.; Zhou, G.; Wang, C.; et al.",Applied Thermal Engineering,2023,228,,,Thermal management,Shallow ML,NMC,self-lab,cross-validation,ANN predicts battery temperature across operating conditions with low error,steady-state bias in transients,168
10.1016/j.jechem.2022.11.036,,"Pang, H.; Wu, L.; Liu, J.; Liu, X.; Liu, K.",Journal of Energy Chemistry,2023,78,,,Thermal management,Physics-informed,NMC,simulation,cross-validation,PINN estimates heat generation rate embedding thermal physics into training,needs reliable heat model prior,143
10.1016/j.est.2023.106688,,"Li, A.; Weng, J.; Yuen, A. C. Y.; Wang, W.; Liu, H.; Lee, E. W. M.; et al.",Journal of Energy Storage,2023,60,,,Thermal management,Review / perspective,various,review,review synthesis,state-of-the-art review of ML-assisted advanced battery thermal management,review scope,106
10.1016/j.applthermaleng.2024.123826,,"Zhou, X.; Guo, W.; Shi, X.; She, C.; Zheng, Z.; Zhou, J.; et al.",Applied Thermal Engineering,2024,253,,,Thermal management,Optimization-augmented control,NMC,simulation,cross-validation,ML-assisted multi-objective optimization designs BTMS balancing cooling and parasitic load,design space restricted,55
10.3390/wevj16050279,,"Nam, K.; Ahn, C.",World Electric Vehicle Journal,2025,16,5,,Thermal management,Deep learning,NMC,simulation,simulation,ANN-controlled BTMS cuts cooling energy while holding temperature limits,simulated duty cycles,24
10.1016/j.apenergy.2026.127394,,"Si, Y.; Zhou, X.; Wang, Y.; Zhang, T.; Xiao, Y.; Liu, Y.",Applied Energy,2026,408,,,Thermal management,Hybrid physics+ML,NMC,self-lab,experimental hardware,internal temperature sensing under ultrahigh-rate discharge supports safety-aware control,sensor packaging challenges,2
